@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
8388,'Anagyris foetida',360.86,131034,78,1.68,24253,9984,347.492,103344,114865,39,65517,50258,96804,8027.303,595,5.108,15525,622,789,0.84,963,1596,10220679,821,595,1235,0.014,0.9,809,8027.14,14216
8287,'Anagyris foetida',361848,125196,83196,1505,25.402,9991,340686,102.72,115.18,41598,62598,51.38,63917,8180.52,665,6.427,15.8,0.673,0.82,0.829,0.942,1704,10415761,0.796,665,1.257,21,892,795,7925.152,2484
8045,'Anagyris foetida',352191,126.27,81733,1545,28399,11265.5,336025,101209,112.106,40866,63135,50242,75295,8105.59,647,5.79,15418,642,802,0.714,0.954,3220.5,10320358,0.78,647,1227,0.009,903,815,7692809,9168
8233,'Anagyris foetida',353463,120.83,85.313,1416,26989,10245,335.674,102384,112.511,42657,60415,52658,29.957,8096.244,706,9621,15175,718,847,804,0.95,2012,10308458,799,706,1208,6,0.91,828,7879.537,3.393
10451,'Anagyris foetida',405.446,138773,95.517,1453,27.93,12176.5,381582,115354,129.057,47758,69387,56515,80703,10410583,688,6291,15.729,691,831,858,941,1725.5,13255.166,0.788,688,1252,0.02,894,799,10045554,2504
8277,'Anagyris foetida',357.304,133963,77491,1729,28971,12192.5,345074,102.658,113.733,38746,66.981,50011,112648,8153146,578,4712,15.424,0.587,0.766,679,966,3915.5,10380.908,797,578,1227,6,903,815,7919696,10042
9272,'Anagyris foetida',371.948,125603,94335,1331,36.013,14210.5,353.307,108.653,118395,47168,62801,54434,32205,9305976,0.751,9592,14921,748,865,652,0.95,4938.5,11848737,0.783,0.751,1187,32,0.918,0.842,8900052,2265
8531,'Anagyris foetida',361.747,127.142,84.543,1504,30415,12148.5,344.948,104221,115148,42271,63.571,51.296,70.43,8442168,665,6112,15339,672,0.82,0.702,0.954,3617.5,10748902,794,665,1.221,0.029,905,0.819,8169.253,6.634
8065,'Anagyris foetida',352.09,130173,79756,1632,25.558,10452,338334,101334,112074,39878,65086,49886,89008,8154044,613,5.288,15.371,606,778,772,961,2387,10382051,777,613,1.223,6,904,818,7712.91,5.054
7749,'Anagyris foetida',346635,123859,80.136,1546,31.86,12397,330014,99329,110337,40.068,61.929,50927,61052,7795.461,647,6518,15.506,643,802,625,0.952,4648,9925489,0.781,647,1234,33,0.9,0.81,7402365,8914
