@relation FeaturesColour

@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute label {'Amorpha fruticosa_All.jpg','Anagyris foetida_All.jpg','Anthyllis barba-jovis_All.jpg','Anthyllis cytisoides_All.jpg','Astragalus glycyphyllos_All.jpg','Calicotome villosa_All.jpg','Caragana arborescens_All.jpg','Ceratonia siliqua_All.jpg','Colutea arborescens_All.jpg','Cytisus purgans_All.jpg','Cytisus scoparius_All.jpg','Dorycnium pentaphyllum_All.jpg','Dorycnium rectum_All.jpg','Hedysarum coronarium_All.jpg','Lathyrus aphaca_All.jpg','Lathyrus ochrus_All.jpg','Medicago sativa_All.jpg','Melilotus officinalis_All.jpg','Pisum sativum subsp. elatius_All.jpg','Senna alexandrina_All.jpg','Spartium junceum_All.jpg','Trifolium angustifolium_All.jpg','Vicia faba_All.jpg'}

@data
192.671444,36.007192,13.880614,121.872988,30.523802,11.03961,81.836163,29.014206,9.046334,0.078508,0.119441,0.280193,0.580466,0.14822,0.761883,0.756305,0.139277,0.869658,'Anagyris foetida_All.jpg'
202.091795,37.554436,14.215899,137.993633,33.942464,11.747069,70.390263,27.418694,8.389891,0.094937,0.081246,0.308118,0.654717,0.140387,0.809146,0.793131,0.145747,0.890579,'Anagyris foetida_All.jpg'
179.772687,50.055503,13.407934,100.799467,41.446398,10.039894,41.836147,31.229696,6.468087,0.093496,0.132144,0.305772,0.777448,0.176535,0.88173,0.70626,0.193644,0.840393,'Anagyris foetida_All.jpg'
165.115619,37.788827,12.849732,83.860041,38.946205,9.157513,73.664638,37.079472,8.582811,0.207172,0.366968,0.455161,0.586758,0.185338,0.766001,0.649078,0.144905,0.805654,'Anagyris foetida_All.jpg'
163.715627,42.353941,12.795141,86.808723,35.839378,9.31712,82.309701,34.361715,9.072469,0.3868,0.458622,0.621933,0.543957,0.156422,0.737534,0.643564,0.162797,0.802225,'Anagyris foetida_All.jpg'
208.801702,44.810053,14.449972,150.310985,44.734808,12.260138,61.786488,31.724532,7.860438,0.10688,0.069208,0.326925,0.708505,0.157162,0.841727,0.819545,0.174327,0.905287,'Anagyris foetida_All.jpg'
177.946043,65.825436,13.339642,136.118705,50.351631,11.666992,73.652878,39.322872,8.582125,0.119324,0.073921,0.345433,0.605865,0.18507,0.778373,0.702983,0.249728,0.838441,'Anthyllis barba-jovis_All.jpg'
198.589918,55.294148,14.092194,153.80654,43.800249,12.401876,82.86376,34.038786,9.102953,0.113363,0.048866,0.336694,0.586746,0.168741,0.765993,0.781338,0.212137,0.883933,'Anthyllis barba-jovis_All.jpg'
200.965371,49.294595,14.176226,151.106007,35.226265,12.292518,80.203534,30.985275,8.955643,0.106732,0.040962,0.326699,0.593842,0.167172,0.770612,0.790574,0.188408,0.889142,'Anthyllis barba-jovis_All.jpg'
185.800967,55.053624,13.630883,130.4166,46.187134,11.420009,69.586624,38.560331,8.34186,0.109211,0.109415,0.330471,0.630824,0.202807,0.794244,0.730736,0.21216,0.854831,'Anthyllis barba-jovis_All.jpg'
201.134615,51.970365,14.182194,173.695804,50.035663,13.17937,98.346154,33.136439,9.916963,0.137795,0.065945,0.371208,0.510683,0.169838,0.714621,0.796497,0.189947,0.892467,'Anthyllis barba-jovis_All.jpg'
186.511905,48.071211,13.656936,126.388095,30.875109,11.242246,62.638095,32.366053,7.914423,0.096272,0.042035,0.310277,0.646922,0.205217,0.804315,0.733179,0.186138,0.856259,'Anthyllis barba-jovis_All.jpg'
179.03525,75.890847,13.380405,141.012987,62.658793,11.874889,77.977737,42.013623,8.8305,0.133281,0.10814,0.365077,0.589282,0.19875,0.767647,0.709309,0.286646,0.842205,'Anthyllis barba-jovis_All.jpg'
167.62117,69.934656,12.946859,121.24234,64.299794,11.01101,57.793872,43.615471,7.602228,0.157318,0.206771,0.396633,0.674548,0.228207,0.821309,0.660211,0.270363,0.812534,'Anthyllis barba-jovis_All.jpg'
179.693846,65.494564,13.404993,128.972308,54.223635,11.356598,67.153846,40.458212,8.194745,0.122375,0.136036,0.349822,0.641928,0.208677,0.801204,0.70759,0.251749,0.841184,'Anthyllis barba-jovis_All.jpg'
187.848485,69.463905,13.705783,153.60404,63.767994,12.39371,85.351515,41.852228,9.238588,0.12753,0.084195,0.357113,0.566615,0.192342,0.752738,0.742381,0.266769,0.861615,'Anthyllis barba-jovis_All.jpg'
197.274942,50.362747,14.04546,147.916473,37.917999,12.162092,75.668213,29.878599,8.698748,0.108107,0.050561,0.328796,0.60374,0.174087,0.777007,0.775552,0.194547,0.880654,'Anthyllis barba-jovis_All.jpg'
194.654283,48.707968,13.951856,143.951496,38.377054,11.997979,74.369453,36.222421,8.623773,0.105454,0.041727,0.324737,0.612283,0.193803,0.782485,0.764957,0.188699,0.874618,'Anthyllis barba-jovis_All.jpg'
183.236413,65.386271,13.536485,131.199728,62.724662,11.454245,69.918478,46.549091,8.361727,0.124414,0.150631,0.352724,0.642872,0.22047,0.801793,0.720972,0.252754,0.849101,'Anthyllis barba-jovis_All.jpg'
