@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
27092,732.001,62786,997,15,0.000415,116.857,946,349,0.796,245,0,85,226,'Anthyllis cytisoides'
?,?,53890,1,-0,0,112206,0.939,331,787,210,0,85,85,'Anthyllis cytisoides'
?,?,48110,1,-0,0,122671,915,0.323,763,187,0,85,85,'Anthyllis cytisoides'
16425,273365,43533,992,0.041,1,102.717,945,331,779,170,0,85,240,'Anthyllis cytisoides'
30.1,904.001,77397,998,12,0.000295,533.353,885,0.056,499,302,0,85,217,'Anthyllis cytisoides'
?,?,70040,1,-0,0,704143,0.874,0.082,514,273,0,85,85,'Anthyllis cytisoides'
20986,443333,73014,995,0.026,0.000586,808791,879,258,693,285,0,85,226,'Anthyllis cytisoides'
?,?,62475,1,-0,0,750337,0.881,126,563,244,0,85,85,'Anthyllis cytisoides'
?,?,62305,1,-0,0,692.733,883,102,541,243,0,85,85,'Anthyllis cytisoides'
?,?,51425,1,-0,0,563254,902,0.093,537,200,0,85,85,'Anthyllis cytisoides'
?,?,51935,1,-0,0,770055,882,153,597,202,0,85,85,'Anthyllis cytisoides'
35327,1246001,106470,998,0.009,0.000224,831932,0.87,0.35,725,415,0,85,220,'Anthyllis cytisoides'
?,?,106250,1,-0,0,773.108,877,358,0.724,415,0,85,85,'Anthyllis cytisoides'
?,?,92225,1,-0,0,836595,0.874,273,677,360,0,85,85,'Anthyllis cytisoides'
32.388,1047001,89529,998,0.011,0.000174,772686,0.874,389,735,349,0,85,194,'Anthyllis cytisoides'
?,?,79730,1,-0,0,829404,0.869,341,706,311,0,85,85,'Anthyllis cytisoides'
28513,811.001,69510,998,0.014,0.000424,745238,878,0.403,0.739,271,0,85,235,'Anthyllis cytisoides'
?,?,65110,1,-0,0,783.04,0.869,0.412,742,254,0,85,85,'Anthyllis cytisoides'
?,?,109735,1,-0,0,871289,856,0.411,733,428,0,85,85,'Anthyllis cytisoides'
?,?,56015,1,-0,0,14.859,585,17,511,218,0,85,85,'Astragalus glycyphyllos'
21331,453024,78149,996,25,0.0007,50593,0.911,0.018,525,305,0,85,230,'Astragalus glycyphyllos'
?,?,59330,1,-0,0,12231,0.548,0.018,526,231,0,85,85,'Astragalus glycyphyllos'
?,?,56865,1,-0,0,12144,0.57,0.018,525,222,0,85,85,'Astragalus glycyphyllos'
?,?,70210,1,-0,0,107103,872,17,524,274,0,85,85,'Astragalus glycyphyllos'
?,?,61200,1,-0,0,162743,893,19,0.533,239,0,85,85,'Astragalus glycyphyllos'
10413,106973,56709,982,95,2,214732,907,24,551,221,0,85,226,'Astragalus glycyphyllos'
?,?,58225,1,-0,0,306061,932,0.058,0.61,227,0,85,85,'Astragalus glycyphyllos'
?,?,55760,1,-0,0,471.946,902,64,597,217,0,85,85,'Astragalus glycyphyllos'
?,?,68000,1,-0,0,459575,0.908,69,608,265,0,85,85,'Astragalus glycyphyllos'
?,?,71910,1,-0,0,472892,914,94,624,280,0,85,85,'Astragalus glycyphyllos'
?,?,70380,1,-0,0,837382,868,0.143,628,274,0,85,85,'Astragalus glycyphyllos'
?,?,58650,1,-0,0,478985,907,77,609,229,0,85,85,'Astragalus glycyphyllos'
